year,age,sex,people
1960,0,Male,-2474
1960,0,Female,2555
1960,5,Male,-2269
1960,5,Female,2112
1960,10,Male,-2005
1960,10,Female,1943
1960,15,Male,-1593
1960,15,Female,1588
1960,20,Male,-1143
1960,20,Female,1358
1960,25,Male,-1452
1960,25,Female,1433
1960,30,Male,-1529
1960,30,Female,1654
1960,35,Male,-2907
1960,35,Female,3440
1960,45,Male,-2899
1960,45,Female,3599
1960,55,Male,-1458
1960,55,Female,1842
1960,60,Male,-1288
1960,60,Female,1550
1960,65,Male,-1671
1960,65,Female,2164
1960,75,Male,-615
1960,75,Female,1027
1960,85,Male,-122
1960,85,Female,263
1970,0,Male,-1945
1970,0,Female,1935
1970,5,Male,-1683
1970,5,Female,2174
1970,10,Male,-2334
1970,10,Female,2309
1970,15,Male,-2137
1970,15,Female,2062
1970,20,Male,-1763
1970,20,Female,2205
1970,25,Male,-1926
1970,25,Female,1892
1970,30,Male,-1303
1970,30,Female,1404
1970,35,Male,-2845
1970,35,Female,2954
1970,45,Male,-2926
1970,45,Female,3614
1970,55,Male,-1334
1970,55,Female,1749
1970,60,Male,-1279
1970,60,Female,1725
1970,65,Male,-1800
1970,65,Female,2928
1970,75,Male,-824
1970,75,Female,1469
1970,85,Male,-162
1970,85,Female,328
1980,0,Male,-1103
1980,0,Female,1024
1980,5,Male,-1209
1980,5,Female,1167
1980,10,Male,-1659
1980,10,Female,1513
1980,15,Male,-1842
1980,15,Female,1877
1980,20,Male,-2016
1980,20,Female,2170
1980,25,Male,-2312
1980,25,Female,2432
1980,30,Male,-1975
1980,30,Female,2170
1980,35,Male,-2308
1980,35,Female,2682
1980,45,Male,-2528
1980,45,Female,2718
1980,55,Male,-1230
1980,55,Female,1643
1980,60,Male,-1097
1980,60,Female,1512
1980,65,Male,-1696
1980,65,Female,2796
1980,75,Male,-852
1980,75,Female,1942
1980,85,Male,-217
1980,85,Female,529
1990,0,Male,-1299
1990,0,Female,1214
1990,5,Male,-995
1990,5,Female,964
1990,10,Male,-912
1990,10,Female,852
1990,15,Male,-1015
1990,15,Female,1041
1990,20,Male,-1559
1990,20,Female,1527
1990,25,Male,-2303
1990,25,Female,2535
1990,30,Male,-2196
1990,30,Female,2349
1990,35,Male,-3375
1990,35,Female,3726
1990,45,Male,-2022
1990,45,Female,2335
1990,55,Male,-983
1990,55,Female,1108
1990,60,Male,-1056
1990,60,Female,1328
1990,65,Male,-1612
1990,65,Female,2528
1990,75,Male,-890
1990,75,Female,1942
1990,85,Male,-221
1990,85,Female,743
2000,0,Male,-1303
2000,0,Female,1259
2000,5,Male,-1096
2000,5,Female,1035
2000,10,Male,-1036
2000,10,Female,982
2000,15,Male,-806
2000,15,Female,767
2000,20,Male,-814
2000,20,Female,860
2000,25,Male,-1569
2000,25,Female,1693
2000,30,Male,-2049
2000,30,Female,2115
2000,35,Male,-3723
2000,35,Female,4118
2000,45,Male,-2905
2000,45,Female,3285
2000,55,Male,-940
2000,55,Female,1151
2000,60,Male,-767
2000,60,Female,986
2000,65,Male,-1513
2000,65,Female,1979
2000,75,Male,-918
2000,75,Female,1730
2000,85,Male,-240
2000,85,Female,750
2010,0,Male,-1402
2010,0,Female,1441
2010,5,Male,-1258
2010,5,Female,1277
2010,10,Male,-1136
2010,10,Female,1116
2010,15,Male,-871
2010,15,Female,867
2010,20,Male,-715
2010,20,Female,732
2010,25,Male,-1148
2010,25,Female,1291
2010,30,Male,-1580
2010,30,Female,1798
2010,35,Male,-3416
2010,35,Female,3718
2010,45,Male,-3230
2010,45,Female,3606
2010,55,Male,-1382
2010,55,Female,1545
2010,60,Male,-1133
2010,60,Female,1421
2010,65,Male,-1320
2010,65,Female,1808
2010,75,Male,-971
2010,75,Female,1478
2010,85,Male,-252
2010,85,Female,842
2020,0,Male,-1130
2020,0,Female,1086
2020,5,Male,-1156
2020,5,Female,1090
2020,10,Male,-1472
2020,10,Female,1504
2020,15,Male,-1078
2020,15,Female,1229
2020,20,Male,-689
2020,20,Female,792
2020,25,Male,-1044
2020,25,Female,1136
2020,30,Male,-1266
2020,30,Female,1377
2020,35,Male,-3375
2020,35,Female,3934
2020,45,Male,-3574
2020,45,Female,3714
2020,55,Male,-1703
2020,55,Female,1815
2020,60,Male,-1509
2020,60,Female,1773
2020,65,Male,-2076
2020,65,Female,2774
2020,75,Male,-968
2020,75,Female,1548
2020,85,Male,-475
2020,85,Female,946
2030,0,Male,-1273
2030,0,Female,1224
2030,5,Male,-1120
2030,5,Female,1054
2030,10,Male,-1167
2030,10,Female,1128
2030,15,Male,-855
2030,15,Female,948
2030,20,Male,-841
2030,20,Female,972
2030,25,Male,-1421
2030,25,Female,1638
2030,30,Male,-1521
2030,30,Female,1774
2030,35,Male,-3018
2030,35,Female,3392
2030,45,Male,-3255
2030,45,Female,3453
2030,55,Male,-1725
2030,55,Female,1837
2030,60,Male,-1690
2030,60,Female,1943
2030,65,Male,-2570
2030,65,Female,3289
2030,75,Male,-1474
2030,75,Female,2298
2030,85,Male,-497
2030,85,Female,1009
2035,0,Male,-1373
2035,0,Female,1320
2035,5,Male,-1222
2035,5,Female,1149
2035,10,Male,-1193
2035,10,Female,1154
2035,15,Male,-807
2035,15,Female,895
2035,20,Male,-613
2035,20,Female,676
2035,25,Male,-1354
2035,25,Female,1597
2035,30,Male,-1767
2035,30,Female,2116
2035,35,Male,-3240
2035,35,Female,3851
2035,45,Male,-2900
2035,45,Female,3419
2035,55,Male,-1683
2035,55,Female,1938
2035,60,Male,-1641
2035,60,Female,1862
2035,65,Male,-2701
2035,65,Female,3429
2035,75,Male,-1667
2035,75,Female,2535
2035,85,Male,-593
2035,85,Female,1202
